ID,Subject ID,Subject Name,Modules,SLO,Expected Outcome
1,ITE1001, Digital Logic and Microprocessor ,"Review of number systems - Logic gates: NAND, NOR gate as universal building blocks - Simplification of four-variable Boolean equations using Karnaugh  maps Half adder, Full adder, Half subtractor, Full subtractor - 4-bit parallel adder and subtractor binary decoder – Decimal to BCD encoder – 8-to-1 multiplexer, 1-to-8 Demultiplexer Flip-flops: SR flip-flop, Edge-triggered flip-flops (SR,D,JK and T), Master-slave JK flip-flop - 4- bit binary asynchronous and synchronous counter - Decade counter (asynchronous and synchronous) - Shift registers (SISO,SIPO,PISO,PIPO) - Ring counter – Memories (RAM, ROM, EPROM,FLASH) Pin diagram - CPU architecture – Flags-Interrupts – Instruction Set-Addressing mode Pin diagram, CPU architecture, addressing mode, Segmentation- Minimum mode maximum mode operations -Memory Interfacing-I/O interfacing Programming model of 8086, Addressing modes, Instruction Formats, Instruction set, Assembler directives and Assembly language Programming of 8086. Block diagram – pin diagram, 8255 (PPI), 8254 (Timer), 8257 (DMA), 8259 (PIC), 8251 (USART)8279(Keyboard and Display Interfacing) ",SLO6 SLO14,"Study, design and experiment the various digital logic design and architectures of microprocessors.  An ability to design and use the various combinational logic circuits.  Design and evaluate the various flip flops and counters for sequential logic circuits.  Analyze, design and implement the architecture of 8085. Comprehend the design details of architecture of 8086 microprocessor. Design and implement the various programming models of 8066 architecture. Analyze and design the application of peripheral chips in various microcontroller "
2,ITE1002, Web Technologies,Evolution of Web – Web architecture – HTML –XHTML- CSS Javascript Basics –Arrays- Functions - Javascript objects – HTML DOM - DOM methods – Events- Regular Expressions – Form Validation-JSON-Jquery Web applications- Web Application Frameworks-MVC framework-Angular JS – Single Page Applications-Responsive Web Design HTTP- Request/Response Model- HTTP Methods- RESTful APIs-AJAX-AJAX with JSON Node.js-NPM- Callbacks -Events- Express framework-Cookies-Sessions-Scaling MongoDB-Manipulating and Accessing MongoDB Documents from Node js Meteor JS framework – Templates – Events – Sessions – Publish & Subscribe –Accounts ,SLO6 SLO7,Implement interactive and responsive web pages using HTML and CSS. Use Java script language to transfer data and add interactive components to web pages. Develop a sophisticated web application that appropriately employs the MVC architecture Demonstrate a client server application using HTTP protocol and access web services for dynamic content using AJAX.  Exhibit the working of server-side scripts. Understand the fundamental working of data using open source databases Develop advanced web frameworks by combining multiple web technologies Implement Client side and Server side programming. 
3,ITE1003,Database Management Systems,"Introduction to database system, Characteristics of the Database Approach, Actors on the Scene, Workers behind the Scene, Advantages of using the DBMS Approach, Data Models, Schemas, and Instances, Three-Schema Architecture and Data Independence, The Database System Environment, Centralized and Client/Server Architectures for DBMSs, Classification of Database Management Systems  High-Level Conceptual Data Models for Database Design, Entity Types, Entity Sets, Attributes, and Keys, Relationship Types, Relationship Sets, Roles, and Structural Constraints, Weak Entity Types, ER Diagrams, Naming Conventions, and Design Issues, Relationship Types of Degree Higher than Two, EER diagrams Relational Model Constraints, Update Operations, Dealing with Constraint Violations, Relational Algebra, Unary Relational Operations: Operations from Set Theory, Binary Relational Operations, Additional Relational Operations, Database Design Using ER-to-Relational Mapping  Informal Design Guidelines for Relation Schemas, Functional Dependencies, Inference Rules, Equivalence, and Minimal Cover, Properties of Relational Decompositions, Algorithms for Relational Database Schema Design, Normal Forms Based on Primary Keys, Boyce-Codd Normal Form Introduction to Transaction Processing, Desirable Properties of Transactions, Characterizing Schedules Based on Serializability, Concurrency, Two-Phase Locking Techniques for Concurrency Control, Concurrency Control Based on Timestamp Ordering, Multiversion Concurrency Control Techniques  Recovery Concepts, NO-UNDO/REDO Recovery Based on Deferred Update, Recovery Techniques Based on Immediate Update, Shadow Paging, ARIES Recovery Algorithm, Security issues- Discretionary, Mandatory Query Execution plan, Basic algorithms for query execution, Heuristic Query Optimization technique, sparse and dense index, primary, secondary and clustered index, B Tree Vs. Hash Index ",SLO2 SLO5 SLO6,"Explain the basic concepts of different data models, design models, query language Design entity relationship diagrams to represent simple database application scenarios. Convert high-level conceptual model to relational data model; populate database; formulate relational operations Analyze and improve a database design by normalization Apply transaction processing to speed up the query execution and make proper transaction in a multiuser environment. Understand the Security and recovery measures in the database Apply Query processing techniques to optimize the performance. Populate and query a database using SQL DML/DDL commands in an application. "
4,ITE1004,Data Structures and Algorithms ,"Operations on stack, array implementation of stack, applications of stack-balance of parenthesis in algebraic expressions, converting expressions from infix to postfix or prefix form, evaluating postfix or prefix form, Towers of Hanoi problem. Operations on queue, circular queue, array implementation of queue, applications of queue. Singly linked list, doubly linked list, circularly singly linked list, operations on linked lists, Linked representation of stack, Linked representation of Queue. Asymptotic notations, Abstract data type, growth rate of functions, running time complexity, best, average and worst case analysis – examples.  Bubble sort, insertion sort, selection sort, radix sort, merge sort, quick sort, heap sort, Shell sort, linear search, binary search, time complexity analysis of sorting and searching algorithms. Hash functions, open hashing-separate chaining, closed hashing - linear probing, quadratic probing, double hashing, random probing, rehashing, extendible hashing. Implementation of tree, binary tree traversals, expression tree, binary search tree, AVL tree, Graphs, Graph traversals, and shortest path algorithms-Dijkstra’s algorithm. ",SLO1 SLO2,"Understand, convert and evaluate the expressions using Stack. Demonstrate the Operations like insertion, deletion on queue and its applications  Apply the concepts of linked list, Linked representation of Queue for specified applications. Solve problems using algorithmic design methods such as asymptotic notations. Formulate new solutions for programming problems or improve existing code using learned algorithms and data structures.  Evaluate algorithms and data structures in terms of time and memory complexity of basic operations.Understand and analyze the concepts of graphs and trees. "
5,ITE1005, Software Engineering-Principles and Practices ,"Software Engineering Fundamentals- Software processes: Software life-cycle and process models- Process assessment models- Overview of Project Management activities. Software requirements and specifications- Requirements elicitation- Requirements analysis modeling techniques- Functional and nonfunctional requirements- User requirements, System requirements, requirement validation and software requirement specification document. Fundamental design concepts and principles-Design characteristics-System Models-Context, Behavioral, Data and, Object models-Architectural design- System structuring, Control models, Structured design- Object-oriented analysis and design- User interface design Validation planning- Testing fundamentals-Test plan Creation and test case generation- Black-box and white-box testing techniques, Unit testing, Integration, validation, and system testing- Object-oriented testing. Software Evolution- Software maintenance, Characteristics of maintainable software- Reengineering Team management, Role identification and assignment, Project tracking, Team problem resolution; Software measurement and estimation techniques. Software quality assurance- Software configuration management Overview of SEICMM, ISO 9000, CMMI, PCMM, TQM and Six Sigma-Overview of CASE tools. Software tools and environments. ",SLO2 SLO7,"Analyze the software development life cycle. Understand the software requirements engineering concepts. Demonstrate the various software design concepts and understand different designs like architectural, structured, object oriented and user interface.  Apply software validation and testing for real time applications. Discuss software maintenance issues and challenges. Perform the software project management techniques and team management. Understand and use different software case tools and provide quality assurance. "
6,ITE1006, Theory of Computation ,"Sets-Sequences and tuples- functions and relation-graphs-Types of proof-proof by construction, proof by contradiction, proof by induction-Introduction-Strings, Languages, Grammars, Automata. Introduction to Finite automata (FA) and examples – Language acceptance and string acceptance by a DFA-Closure properties-Minimization of finite automata-Regular languages- Non regular languages. Introduction and examples-Conversion from DFA to NFA Finite Automata with Epsilon transitions- Equivalence of NFA and DFA -  FA with output-Moore and mealy machine. Recursive definition of regular expression-Regular set-Identities of RE-Equivalence of RE-Identity rules-Inter Conversion RE and FA, Pumping lemma. Introduction- Definition, Right-linear grammar-left linear grammar-conversion from right linear grammar to left linear grammar-derivation and ambiguity-Simplification of CFG-Normal forms Definition- Construction of pushdown automata Equivalence of push down automata and context-free grammar. Definition-Design of Turing machine-Types of Turing machines - Introduction to Context sensitive grammar and languages-Linear bounded automata. Undecidabilty: Recursively enumerable and recursive languages - Undecidable problems - Halting and PCP problem - Halting problem is undecidable - Chomsky hierarchy of languages. ",SLO1 SLO5," Demonstrate the knowledge of fundamental concepts related to mathematical preliminaries and automata theory Analyse the deterministic finite machine to accept the languages. Analyse the non-deterministic finite machine to accept the languages. Use and apply important properties of finite automaton to derive regular expressions from finite automation and vice versa Analyse the context free grammar to simplify, remove ambiguity and perform conversion Design push down automata for information technology related applications and to perform conversion between context free grammar and push down automation. Design Turing machine for information technology related applications. "
7,ITE1007,Object Oriented Analysis and Design,"Structure of Complex Systems, Decomposing Complexity - Elements of Analysis and Design, Object Modeling - Unified Process - Phases of Unified Process. Benefits and Risks of Object Oriented Development, Macro and Micro Process Development, Object Interoperability- Designing Interface Objects. Object Oriented Methodologies-Rumbaugh et al.’s object modeling technique-The Booch Methodology-The Jacobson et al. Methodologies, Discussion on few Examples of OOAD Application Scenarios-Choosing a case study for OOAD. Elements of Analysis – Requirements Workflow – Analysis Workflow Elements of Design – O-O Design Workflow – Mapping of Elements onto Phases of Unified Process – UML Diagrams for Design – Iterations – Case Study. Introduction to UML as an Analysis and Design Tool, Class Diagrams, State Transition Diagrams, Object Diagrams, Interaction Diagrams, Use case Diagrams, Activity Diagrams, Collaboration Diagrams and Module Diagrams.Component Diagram, Deployment Diagrams – Mapping of Diagrams to Analysis and Design Components. ",SLO2 SLO5 SLO6,Understand and analyse the fundamentals of Object oriented design elements. Comprehend the limitations of object oriented analysis and design. Implement different techniques available for object modeling techniques based on the limits and features. Analyzie the objects and elements required for efficient design. Provide design solutions to various case studies by applying modelling techniques. Analyze and design unified modeling diagrams for various case studies. Map Unified modeling diagrams to the analysis and design components. 
8,ITE1008, Open Source Programming ,FOSS- Open Source Philosophy -OSD – Licensing - Open Source vs Closed Source– Open Source vs Free Software – Copyright Vs. Copyleft. Open Source Servers – browsers – packages. Installation & Setting Path -Overview - Basics - GUI Programming - Arrays - Functions - Files- Exception Handling. Introduction to MYSQL -Data types - Queries-Interfaces with PHP OOPs – File Uploading - Regular Expressions -  Sending Mail – Cookies – Session Handling Introduction – Statements – Arrays – Strings – File Handling. Moodle: Installation – Themes – Course & Activity – File Uploading. Ecllipse - IDE PHP: Creating Project – Adding files to Repository – Parsing functionality – Executing the project. Introduction to R-Programming ,SLO2 SLO5," Differentiate between open source software and free software  Build applications software using Open Source Software  Demonstrate the knowledge of fundamental concepts related to open source technologies.  Demonstrate the knowledge of fundamental concepts using open source databases.  Provide solutions to reliability, security, scalability and robustness in Internet.  Design and develop a web crawler to traverse a local repository of webpages.  Design of web domains.  Develop applications targeted for Internet considering the recent exploration such as real time web applications."
9,ITE1010,Digital Image Processing ,"Introduction, Digital Image Fundamentals, Image acquisition and display using digital devices - Human visual perception, properties –Image Sampling and Quantization-Basic Relationship between Pixels – Color models. Introduction- Basic grey level transformation, Histogram Processing, Enhancement using arithmetic/Logic operations – Spatial filtering: smoothing and sharpening. Introduction to two-dimensional transforms-Discrete Fourier Transform, Discrete Cosine Transform, Discrete Wavelet Transform-smoothing frequency domain filtering-sharpening frequency domain filtering. Noise Models – Restoration in the presence of Noise only- spatial filtering, periodic noise reduction by frequency domain filtering. Lossless Image Compression- The Concept of entropy and Huffman coding; Run-length coding for grey images, Lossy Image Compression – Predictive coding, transform coding – JPEG compression standard, Wavelet-based image compression JPEG2000. Detection of discontinuities- Object Detection Methods, Edge Linking and Boundary Detection, Thresholding Methods, Region Oriented Methods. Chain codes, Polygonal approximation, Signature Boundary Segments, Skeletons. Descriptors: Boundary Descriptors, Regional Descriptors, Relational Descriptors.",SLO1 SLO14," Analyze general terminology of digital image processing. Examine the core image enhancement techniques using Spatial and frequency domain. Understand the core image enhancement techniques using various domains. Identify and apply the knowledge by analysing various image compression techniques for effective solutions.  Design and create practical solutions to a range of common image processing problems and assess the results of their solutions.  Conduct the study and analysis of image segmentation and representation techniques. Learn polygonal approximation, image representation and descriptors Design and develop domain specific application using various digital image processing techniques"
10,ITE1011,Computer Graphics,"Basic Elements of computer graphics and its Applications, Graphics Rendering Pipeline, Input/output Devices, Raster graphics system, vector graphics system. Line drawing algorithms, Circle drawing algorithms, Ellipse drawing algorithms and filling algorithms. Attributes of Output Primitives. Colour models. Translation, rotation, scaling, reflection and shearing, Homogenous Coordinates, Composition of Transformations. 2D viewing pipeline, Window to viewport transformation. Three dimensional viewing transformations: 3D viewing pipeline, Projection, Types of projection, Transformation matrix for parallel and perspective projection. Point clipping, line clipping and polygon clipping algorithms. 3D clipping algorithms: point and line clipping algorithms. Parametric Curves: Cubic Splines, Bezier Curves and B-Splines. Solid modelling: Representing solids regularised Boolean set operations, primitive instancing. Object representation techniques: Sweep, Boundary, spatial-partitioning, constructive solid geometry and its comparison. Visible line determination algorithms: Area-subdivision, BSP tree, octrees and Ray Tracing. Illumination Models: Diffuse, Specular and Ambient Reflection. Polygon Shading: Flat Shading, Gouraud Shading and Phong Shading. ",SLO1 SLO14,"Understand computer graphics and interactive computer graphics architecture. Analyze different algorithms for the construction of graphic models. Understand the technical aspects of computer graphics and various transformations. Enhance the perspective of modern computer system using modeling, analysis and interpretation of 2D and 3D visual information.  Develop skills with respect to various clipping algorithms in computer graphics Design and implement advanced algorithms for curves and modeling with Illumination models and shading techniques.  Understand and implement the various visible surface and shading algorithms. Apply and implement the various algorithms on computer graphics for the real time application.  "
11,ITE1014, Human Computer Interaction ,"Perceptual-Motor Interaction: Some Implications for Human–Computer Interaction, Human Information Processing: An Overview for Human–Computer Interaction, Mental Models in Human–Computer Interaction, Task Loading and Stress in Human–Computer Interaction, Choices and Decisions of Computer Users. Input Technologies and Techniques,  Sensor- and Recognition-Based Input for Interaction,  Visual Displays, Haptic Interface, Non-speech Auditory and Cross modal Output, Network-Based Interaction,  Wearable Computers,  Design of Fixed, Portable, and Mobile Information Devices User Experience Requirements Analysis within the Usability Engineering Lifecycle, Task Analysis, Contextual Design, Grounded Theory Method in Human–Computer Interaction and Computer-Supported Cooperative Work, An Ethnographic Approach to Design Putting Personas to Work, Prototyping Tools and Techniques, Scenario-Based Design, Participatory Design Usability Testing, Usability for Engaged Users, Survey Design and Implementation in HCI, Inspection-Based Evaluations,  Model-Based Evaluation Human–Computer Interaction in Health Care, Motor Vehicle–Driver Interfaces, Human–Computer Interaction in Aerospace,  Human–Computer Interaction for Kids Augmenting Cognition in HCI, Social Networks and Social Media, Changing Human–Computer Interaction to Change the World, Ubiquitous Computing.",SLO2 SLO6,Comprehend the concepts of Human computer interaction for computer utlizalition. Understand the various input and output techniques for Human Computer interaction.  Understand the various input and output techniques for Human Computer interaction. Explore the various tools for effective design and development of Human Computer Interaction systems.  Learn and understand the various testing strategies for Human Computer Interaction. Explore the domain specific applications to gain knowledge to build Human Computer Interaction systems. Understand and analyse the concepts of emerging phenomena in HCI. Design and Develop an application which will address the contemporary issues. 
12,ITE1015, Soft Computing ,"Introduction to Soft computing, basics. Neural networks, introduction, evolution, basic models, terminologies of ANN, Pitts model, Perceptron, Adaline, Back-propagation network, RBF network. Pattern association, auto & hetero associative memory models, BAM, Hopfiled network.  Self-organizing maps, LVQ network, ART network. Introduction, fuzzy sets, operations, fuzzy relations, membership functions, fuzzification & defuzzification. Fuzzy truth values, fuzzy propositions, fuzzy rules, formation, decomposition and aggregation of rules, fuzzy reasoning, FIS, Fuzzy Decision Making. Information & decision systems, indiscernability, set approximations, properties of rough sets, rough memberships, reducts, and approximations. Genetic algorithms, hybrid systems. ",SLO1 SLO2 SLO7, Identify the essential components of soft computing. Describe and recognize the various types of memory models associated with neural networks.  Demonstrate various unsupervised learning techniques. Examine the fundamentals of fuzzy sets and operations associated with them . Establish fuzzy rules for decision making in real-time scenarios. Investigate the idea behind rough sets. Investigate the idea behind searching strategies.  Determine and construct a soft computing system required to address a computational task.
13,ITE1016, Mobile Application Development ,"A brief history of mobile-Mobile ecosystem, Designing for context, Developing a Mobile Strategy, Mobile Information Architecture, Mobile Design, Types of mobile application. Introduction-HTML5, CSS3, Javascript, JQuery. Android toolkit, Java for android, components of an Android Application. Eclipse Concepts and Terminology, Eclipse Views and Perspectives, Eclipse and Android, Effective java for Android Building a View, Fragments and Multiplatform Support, Drawing, Handling and Persisting Data. Basic iPhone Styling, Advanced iPhone Styling, Animation local Storage and session Storage, Client-Side Database PhoneGap tool.",SLO5 SLO6 SLO12,"Understand different mobile application models/architectures and patterns. Evaluate and contrast the requirements for mobile platforms.  Describe the components and structure of a mobile development framework. Apply mobile development framework for the development of mobile applications. Create apps for Android and iOS platform devices. Interpret a scenario to plan, design and develop a prototype as a native mobile application. Understand, design and implement the data storage of iPhone for various applications.  Develop the various mobile applications for the operating systems of android and iPhone"
14,ITE1017,Transformation Techniques,Separable Sequence - Periodic sequence - Classification of 2D Systems - 2D Convolution - 2D Z-Transform - Properties - 2D Inverse Z transform - 2D Digital Filter 2D Convolution through Graphical Method - Convolution through Z-Transform - 2D Convolution through Matrix Analysis - Circular Convolution – Applications Orthogonal sinusoidal basis function - Fourier transform - Fast FFT - Properties - Discrete Cosine transform - Discrete sine transform – Applications Non-sinusoidal orthogonal basis function - Haar Tansform - Walsh transform - Hadamard Transform - Slant Transform – Applications KL transform - Singular value decomposition – Applications Hough transform - Radon transform - Ridgelet transform - Contourlet transform – Applications Continuous Wavelet Transform - Multi-resolution Analysis - Image Compression - Image Coding  - SPIHT - JPEG2000 - Wavelet based denoising - atermarking - Applications. ,SLO1 SLO2 SLO9, Analyze the use of 2D Z Transform techniques. Understand how integral transforms can be used to solve a variety of differential equations Formulate important results and theorems of various sinusoidal orthogonal transforms Formulate important results and theorems of various non-sinusoidal orthogonal transforms. Demonstrate Statistical based and Directional transforms for automotive applications. Use directional transforms as a techniques for solving real time problems Apply Wavelet and other advanced transforms to video processing applications (surveillance)  
